case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,109,7,106,6,4.668938815480913e-10,3.5185646815359936e-12,1.1565201620001557e-9,3.239733374280141e-12,398
bfwa62,39,4,39,4,5.410572969728146e-10,1.1703499097525804e-13,8.399113966507873e-11,8.306653502721521e-14,62
bfwa782,299,7,279,6,1.1959477153387843e-9,5.199063209982153e-12,1.5621789381771852e-9,7.716579205978866e-12,782
bwm200,102,5,104,6,9.472612609543257e-11,4.987950130819332e-11,1.1487752478204969e-10,2.805026897993162e-14,200
bwm2000,1218,2000,1111,2000,2.127051057180853e-10,2.6941805809564158e39,1.7000483898597522e-10,6.484230090752078e42,2000
cdde1,114,8,110,8,5.902924840340353e-10,6.308710398770189e-12,6.759802072088884e-10,3.5150810719492818e-12,961
cdde2,102,3,100,3,2.9581348872865506e-10,1.835152315872377e-13,9.136810143498677e-10,1.1330248887559475e-13,961
cdde3,255,10,248,10,8.806759346374384e-11,3.848784600795027e-11,3.2420149648902697e-10,6.177926282764933e-11,961
cdde4,105,3,106,3,3.484462568977012e-9,2.3132852152228167e-13,2.350470080345829e-10,1.4647814054187517e-13,961
cdde5,869,7,806,7,1.4858214943608327e-9,1.2102205475953563e-11,1.6581622567686524e-9,3.052255472766258e-11,961
cdde6,134,3,133,3,1.1463097261611617e-10,8.240371163426681e-13,5.618317966055609e-10,3.7893456937942663e-13,961
ck104,102,6,114,6,1.7503555813333855e-10,3.387516415192123e-13,4.734312639956181e-10,4.963435771896787e-14,104
ck400,390,8,452,8,2.421273510812316e-9,1.7451892910153806e-11,2.7061214978461952e-9,4.0320683946680184e-13,400
ck656,555,10,916,10,2.783839866941343e-9,6.455151965897874e-11,2.3535484594664236e-9,9.596056666241203e-13,656
dw1024,2000,4,2000,4,8.533179719185669e-7,1.1282220537406763e-12,1.670734057324522e-7,1.4874958174638772e-12,2048
dw256A,795,5,854,5,5.306097991800473e-9,2.7981339753178465e-10,4.6518865714390444e-9,3.0471355964202246e-10,512
dw256B,6,2,6,2,1.3981542391893058e-9,5.820100853541185e-12,1.0841168744988313e-9,7.15971583718461e-12,512
dw4096,2000,2000,2000,2000,32.38593587476837,1.7274827250688522e15,11.589311365726887,1.217074337764825e24,8192
lop163,195,3,1201,3,1.7093729005769466e-9,4.294544613091264e-10,3.279442592801753e-9,1.7752637018994107e-9,163
mhda416,210,1,178,1,3.62244756078388e8,NaN,1.1877184010465064e9,NaN,416
odepa400,425,1,423,1,1.3697585665236967e-8,8.38529703575066e-11,1.3620648291742986e-8,6.332004593649793e-11,400
olm100,391,1,2000,1,1.0560508162674633e-7,8.541490576138725e-14,2.4944303601631024,1.5885038561159803e-13,100
olm1000,2000,35,832,34,6.170446418887937e-6,2.795138142936788e-10,1.667260737219563,1.2894418951426935e-9,1000
olm2000,2000,46,1583,51,1.5473216775605637e-5,5.178552601974603e-9,0.16949981044483248,2.7556160152866112e-9,2000
olm500,2000,2,506,2,1.2684362475087581e-6,8.115012566168305e-12,0.4070939986908245,8.078933473064982e-12,500
olm5000,1854,62,2000,52,2.562030672649147e6,1.049797073523646e-8,31236.964829516466,1.9689066045127854e-8,5000
pde225,56,3,51,3,6.506892092717322e-10,4.804739467778367e-14,5.831687089029054e-10,4.051355788904198e-14,225
pde2961,149,6,133,6,2.198662004009553e-9,2.2648265205916304e-12,2.785192203888072e-9,1.3022636579810144e-12,2961
pde900,81,4,77,4,1.4795073744618425e-9,4.2391978832306996e-13,7.060446366959491e-10,2.3331247051278323e-13,900
qh882,58,1,77,1,323.21157749342916,NaN,NaN,NaN,882
rbsa480,61,2000,68,2000,73.64538344627213,1.603013794988431e96,220.8523839784259,2.1352437317494515e68,480
rbsb480,82,2000,147,2000,15.338611119139426,2.6235897201465766e90,285.28092838836,3.245895976006817e33,480
rdb2048,570,5,2000,5,2.3294512910110893e-6,3.0914874849647035e-12,0.0029588370106597003,4.158516109215332e-14,2048
rdb5000,813,8,2000,8,6.010296451515602e-10,6.99454741776435e-12,1.7781993441524337e-6,7.774453781086823e-14,5000
rdb968,736,4,406,4,0.08514781693663462,5.902610186395023e-12,0.0008119186874558569,3.158192219782141e-13,968
rw136,96,1,69,1,12.059252230924374,NaN,111634.00922253741,NaN,136
rw496,50,1,115,1,6.984978315165031,NaN,54.51574598741204,NaN,496
rw5151,98,1,240,1,560.2059593071272,NaN,282.5320099072643,NaN,5151
tub100,107,5,107,6,6.150980423298555e-11,1.0970706208517273e-11,3.270137467455465e-12,2.8318093243506653e-13,100
tub1000,1182,12,1309,12,1.4473256401228273e-10,4.474780596156658e-9,1.6706119363101775e-10,8.188196966562394e-12,1000
cryg10000,1577,174,785,791,95169.5352138567,2.466638340752426,1932.4998852491021,0.7615220596921569,10000
cryg2500,1216,44,2000,76,311705.6937134416,0.002748531343225081,2021.4162048778564,0.0014160406000185914,2500
dw2048,2000,4,2000,4,8.533179719185669e-7,1.1282220537406763e-12,1.670734057324522e-7,1.4874958174638772e-12,2048
dw8192,2000,2000,2000,2000,32.38593587476837,1.7274827250688522e15,11.589311365726887,1.217074337764825e24,8192
dwa512,795,5,854,5,5.306097991800473e-9,2.7981339753178465e-10,4.6518865714390444e-9,3.0471355964202246e-10,512
dwb512,6,2,6,2,1.3981542391893058e-9,5.820100853541185e-12,1.0841168744988313e-9,7.15971583718461e-12,512
mhd3200a,2000,1,2000,1,4.9614402246874886e17,NaN,5.999322256686721e46,NaN,3200
mhd4800a,2000,1,34,1,7.2612530759493785e37,NaN,1.1081733975461872e7,NaN,4800
qh1484,135,1,154,1,7.486761254987325,NaN,3.1189828674112716,NaN,1484
qh768,113,1,109,1,1919.1277567295965,NaN,24.692668620104214,NaN,768
rdb1250,108,5,107,5,3.167434471202087e-10,1.0268903023208102e-11,4.1013948259035605e-10,3.9061691726168134e-13,1250
rdb1250l,676,4,881,4,0.034369471988970626,3.50016094243273e-11,0.009874606920003593,6.585494934478146e-13,1250
rdb200,69,3,72,3,5.778095678928295e-10,1.6857634010173954e-12,4.63700083995971e-10,1.786714039202477e-13,200
rdb200l,336,4,121,4,0.04699902054258828,7.439646819184011e-13,0.00010156908863087959,2.629682233821656e-14,200
rdb2048_noL,115,7,125,6,1.55563086269119e-10,8.715161591235466e-12,5.071527466930713e-10,7.62844413695577e-13,2048
rdb3200l,922,6,668,5,3.589761497011494e-8,3.997070264586849e-12,4.806865835606513e-10,1.1228772169767612e-12,3200
rdb450,90,4,68,4,3.3316919135431067e-10,1.5209846762627463e-12,2.0838787504202213e-10,3.518465624190346e-14,450
rdb450l,295,4,202,4,0.0027482799029712444,7.194566180502589e-13,8.208514524573886e-10,3.947432272935271e-14,450
rdb800l,231,4,320,4,52.74119249439487,1.7171319171302453e-12,0.32342996344491715,7.239744892092996e-14,800
tols1090,61,1,821,1,15.360433593836222,NaN,3.2797458592522433,NaN,1090
tols2000,68,2000,816,2000,27.207042782686038,9367.380883409693,9.400626199130336,25.706385193806824,2000
tols340,55,1,54,1,4.350253847005135,NaN,2.3365028373828842,NaN,340
tols4000,132,1,259,1,48.978162086908256,NaN,21.24178780413052,NaN,4000
tols90,90,1,56,1,NaN,NaN,0.4979887355002556,NaN,90
